location,death_percent
Vanuatu,25
Yemen,19.67
Peru,9.43
Mexico,9.37
Sudan,7.53
Syria,7.31
Egypt,5.72
Somalia,5.23
China,5.08
Ecuador,4.79
Bosnia and Herzegovina,4.66
Bulgaria,4.26
Tanzania,4.13
Zimbabwe,4.06
Afghanistan,3.95
Bolivia,3.82
Comoros,3.74
Hungary,3.71
Tunisia,3.67
Liberia,3.65
Mali,3.64
Eswatini,3.6
North Macedonia,3.52
Chad,3.52
Niger,3.52
Taiwan,3.47
Malawi,3.36
Antigua and Barbuda,3.33
South Africa,3.3
Slovakia,3.18
Guatemala,3.11
El Salvador,3.02
Australia,3
Greece,2.99
Gambia,2.99
Italy,2.99
Lesotho,2.98
Romania,2.96
Brazil,2.8
United Kingdom,2.79
Paraguay,2.79
Indonesia,2.76
Senegal,2.75
Iran,2.7
Algeria,2.68
Honduras,2.68
Poland,2.59
Colombia,2.55
Belize,2.51
Nicaragua,2.44
Russia,2.42
Germany,2.42
Moldova,2.41
Democratic Republic of Congo,2.38
Mauritania,2.37
Guyana,2.36
Ukraine,2.36
Trinidad and Tobago,2.34
Belgium,2.33
Pakistan,2.31
Croatia,2.28
Angola,2.28
Suriname,2.22
Myanmar,2.22
Spain,2.15
Haiti,2.15
Madagascar,2.12
Kosovo,2.1
Argentina,2.08
Chile,2.08
Jamaica,2.05
Armenia,2.01
Portugal,1.98
Bahamas,1.96
Kenya,1.95
Liechtenstein,1.95
Albania,1.85
Ireland,1.85
Sierra Leone,1.84
Canada,1.84
Czechia,1.82
Japan,1.82
Latvia,1.81
Guinea-Bissau,1.81
France,1.8
United States,1.79
San Marino,1.77
Hong Kong,1.77
Morocco,1.76
Philippines,1.73
Slovenia,1.72
Kyrgyzstan,1.71
Libya,1.67
Panama,1.66
Austria,1.64
Cameroon,1.64
Saudi Arabia,1.62
Montenegro,1.6
Bangladesh,1.59
Sao Tome and Principe,1.57
Lithuania,1.56
Switzerland,1.55
Namibia,1.55
Ethiopia,1.55
Saint Lucia,1.54
Botswana,1.51
Uruguay,1.48
Azerbaijan,1.48
Lebanon,1.44
Georgia,1.43
Nepal,1.39
Equatorial Guinea,1.39
Central African Republic,1.38
Malta,1.37
South Korea,1.34
Sweden,1.34
Iraq,1.33
Djibouti,1.33
Congo,1.32
Monaco,1.3
Jordan,1.29
Rwanda,1.29
India,1.28
Costa Rica,1.28
Benin,1.27
Nigeria,1.27
Zambia,1.25
Burkina Faso,1.24
Brunei,1.2
Dominican Republic,1.2
Mozambique,1.18
Luxembourg,1.16
Barbados,1.16
Palestine,1.14
Venezuela,1.13
Oman,1.08
Turkey,1.08
South Sudan,1.08
Mauritius,1.06
Netherlands,1.06
Finland,1.03
Sri Lanka,1.01
Papua New Guinea,0.99
Serbia,0.98
Estonia,0.97
New Zealand,0.96
Andorra,0.92
Togo,0.92
Cambodia,0.91
Denmark,0.87
Cape Verde,0.87
Ghana,0.83
Israel,0.77
Kazakhstan,0.76
Belarus,0.74
Thailand,0.73
Guinea,0.71
Uganda,0.71
Cuba,0.69
Uzbekistan,0.68
Tajikistan,0.68
Cote d'Ivoire,0.64
Gabon,0.63
Grenada,0.62
Norway,0.61
Malaysia,0.61
Saint Vincent and the Grenadines,0.56
Kuwait,0.55
Vietnam,0.54
Cyprus,0.51
Bahrain,0.48
Mongolia,0.47
Iceland,0.44
Fiji,0.38
Seychelles,0.37
Eritrea,0.34
United Arab Emirates,0.29
Maldives,0.28
Qatar,0.26
Timor,0.23
Burundi,0.16
Laos,0.15
Singapore,0.05
Bhutan,0.05
Turkmenistan,NULL
Northern Cyprus,NULL
Sint Maarten (Dutch part),NULL
Bonaire Sint Eustatius and Saba,NULL
Micronesia (country),NULL
Cook Islands,NULL
Anguilla,NULL
French Polynesia,NULL
Aruba,NULL
Macao,NULL
Solomon Islands,NULL
British Virgin Islands,NULL
Vatican,NULL
Montserrat,NULL
Tonga,NULL
Kiribati,NULL
Saint Helena,NULL
New Caledonia,NULL
Jersey,NULL
Tuvalu,NULL
Wallis and Futuna,NULL
Isle of Man,NULL
Dominica,NULL
Turks and Caicos Islands,NULL
Guernsey,NULL
Cayman Islands,NULL
Faeroe Islands,NULL
Gibraltar,NULL
Samoa,NULL
Curacao,NULL
Saint Kitts and Nevis,NULL
Falkland Islands,NULL
Nauru,NULL
Marshall Islands,NULL
Greenland,NULL
Bermuda,NULL
